lob|type|subtype|brand|short_description|MRP|list_price|discount|savings|speciality|size|sizePack|description|image_url|Country of Origin
Pantry|Dals & Pulses|All Dals|Tata|Tata Sampann Urad Dal Whole White|200.00|158.00|21%|42.00|Vegetarian|1kg|Pouch|Tata Sampann Urad Dal Whole White||India
Pantry|Dals & Pulses|All Dals|Tata|Tata Sampann Urad Dal Whole White|101.00|94.00||India7.00|Vegetarian|500gms|Pouch|Tata Sampann Urad Dal Whole White||India

Pantry|Dals & Pulses|All Dals|Tata|Tata Sampann Moong Dal|180.00|156.00|13%|24.00|Vegetarian|1kg|Pouch|Tata Sampann Moong Dal||India

Pantry|Dals & Pulses|All Dals|Tata|Tata Sampann Unpolished Chana Dal|110.00|104.50|5.50|5.50|Vegetarian|1kg|Pouch|Tata Sampann Unpolished Chana Dal||India

Pantry|Dals & Pulses|All Dals|Tata|Tata Sampann Masoor Dal - Whole, Unpolished|135.00|131.00|4.00|4.00|Vegetarian|1kg|Pouch|Tata Sampann Masoor Dal - Whole, Unpolished||India

Pantry|Dals & Pulses|Cereals & Millets|Nutrela|Nutrela Soya - Mini Chunks|45.00|42.75|5%|2.25|Vegetarian|200gms|carton|Nutrela Soya - Mini Chunks||India
Pantry|Dals & Pulses|Cereals & Millets|Nutrela|Nutrela Soya - Mini Chunks|15.00|15.00|||Vegetarian|80gms|Pouch|Nutrela Soya - Mini Chunks||India

Pantry|Dals & Pulses|Cereals & Millets|Nutrela|Nutrela Soya - Chunks|150.00|150.00|||Vegetarian|1kg|Pouch|Nutrela Soya - Chunks||India
Pantry|Dals & Pulses|Cereals & Millets|Nutrela|Nutrela Soya - Chunks|45.00|42.75|5%|2.25|Vegetarian|200gms|carton|Nutrela Soya - Chunks||India

Pantry|Dals & Pulses|Cereals & Millets|Nutrela|Nutrela Soya - Granules|45.00|42.75.00|5%|2.25|Vegetarian|200gms|carton|Nutrela Soya - Granules||India

Pantry|Dals & Pulses|Cereals & Millets|Himalayan Natives|Himalayan Natives Chia Seeds|450.00|382.50|15%|67.50|Vegetarian|450gms|Pouch|Himalayan Natives Chia Seeds||India

Pantry|Dals & Pulses|Cereals & Millets|Himalayan Natives|Himalayan Natives Flax Seeds|170.00|144.50|15%|67.50|Vegetarian|450gms|Pouch|Himalayan Natives Flax Seeds||India

Pantry|Dals & Pulses|Cereals & Millets|Himalayan Natives|Himalayan Natives Roasted Flax Seeds|199.00|170.00|29.00|29.00|Vegetarian|450gms|Pouch|Himalayan Natives Roasted Flax Seeds||India

